Cal Raleigh
Kyle Schwarber
Shohei Ohtani
Aaron Judge
Eugenio Suarez
Junior Caminero
Juan Soto
Pete Alonso
Jo Adell
Riley Greene
Nick Kurtz
Taylor Ward
Byron Buxton
Rafael Devers
Michael Busch
Trent Grisham
Vinnie Pasquantino
Julio Rodriguez
George Springer
Seiya Suzuki
Corbin Carroll
Jazz Chisholm
Pete Crow-Armstrong
Hunter Goodman
Shea Langeliers
Francisco Lindor
Brandon Lowe
Spencer Torkelson
James Wood
Willy Adames
Salvador Perez
Jose Ramirez
Brent Rooker
Cody Bellinger
Matt Olson
Christian Yelich
Ketel Marte
Randy Arozarena
Bryce Harper
Manny Machado
Kyle Manzardo
Andy Pages
Christian Walker
Jose Altuve
Kerry Carpenter
Zach Neto
Jorge Polanco
Ben Rice
Mike Trout
Yandy Diaz
Teoscar Hernandez
Brandon Nimmo
Tyler Soderstrom
Trevor Story
Kyle Stowers
Fernando Tatis
Freddie Freeman
Ramon Laureano
Mickey Moniak
Giancarlo Stanton
Dansby Swanson
Vladimir Guerrero
Ian Happ
Bobby Witt
Wilyer Abreu
Josh Bell
Elly De La Cruz
Wyatt Langford
Lenyn Sosa
Kyle Tucker
Matt Wallner
Ronald Acuna
Addison Barger
Lawrence Butler
Matt Chapman
Jackson Chourio
Colson Montgomery
Marcell Ozuna
Heliot Ramos
Agustin Ramirez
Corey Seager
Spencer Steer
Austin Wells
Andrew Benintendi
Mookie Betts
Willson Contreras
Oneil Cruz
Yainer Diaz
Michael Harris
Ryan McMahon
Josh Naylor
Isaac Paredes
Geraldo Perdomo
Daulton Varsho
CJ Abrams
Drake Baldwin
Kody Clemens
Adolis Garcia
Lourdes Gurriel
Ivan Herrera
Max Muncy
Logan OHoppe
Gavin Sheets
Anthony Volpe
Brett Baty
Bo Bichette
Alex Bregman
Alec Burleson
Max Kepler
Nathaniel Lowe
Brice Turang
Harrison Bader
Nick Castellanos
William Contreras
Gunnar Henderson
Jackson Holliday
Carson Kelly
Trevor Larnach
Cedric Mullins
Ryan O'Hearn
Jeremy Pena
Will Smith
Rowdy Tellez
Mark Vientos
Jordan Westburg
